2026-03-16 15:41:08.325 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@78e16155, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54a3ab8f, org.springframework.security.web.context.SecurityContextPersistenceFilter@1deb2c43, org.springframework.security.web.header.HeaderWriterFilter@5a2f016d, org.springframework.web.filter.CorsFilter@1968a49c, org.springframework.security.web.authentication.logout.LogoutFilter@1e53135d, com.example.learningplan.config.JwtAuthFilter@2baa8d82, com.example.learningplan.config.OpLogFilter@d78795, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1cefc4b3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f6a7463, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6a1ebcff, org.springframework.security.web.session.SessionManagementFilter@6058e535, org.springframework.security.web.access.ExceptionTranslationFilter@5cbf9e9f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@26f143ed]
2026-03-16 15:41:09.069 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 15:41:09.104 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-16 15:41:09.113 INFO  [main] c.e.l.LearningPlanApplication - Started LearningPlanApplication in 8.787 seconds (JVM running for 9.428)
2026-03-16 15:41:54.477 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-16 15:41:54.477 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-16 15:41:54.479 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-16 15:51:30.112 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 15:51:30.138 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication v0.1.0 using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 23752 (D:\workspace\learning-plan-management\backend\target\learning-plan-backend-0.1.0.jar started by lvh in D:\workspace\learning-plan-management\backend)
2026-03-16 15:51:30.166 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 15:51:31.632 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 15:51:31.816 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 147 ms. Found 11 JPA repository interfaces.
2026-03-16 15:51:33.536 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 15:51:33.545 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 15:51:33.546 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 15:51:33.547 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 15:51:33.689 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 15:51:33.690 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3425 ms
2026-03-16 15:51:33.899 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 15:51:33.992 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 15:51:34.234 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 15:51:34.407 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 15:51:35.313 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 15:51:35.349 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 15:51:36.436 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 15:51:36.450 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 15:51:38.248 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7bfc3126, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3e792ce3, org.springframework.security.web.context.SecurityContextPersistenceFilter@7bd69e82, org.springframework.security.web.header.HeaderWriterFilter@3fabf088, org.springframework.web.filter.CorsFilter@53bc1328, org.springframework.security.web.authentication.logout.LogoutFilter@2b27cc70, com.example.learningplan.config.JwtAuthFilter@4fd4cae3, com.example.learningplan.config.OpLogFilter@7caa550, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1a38ba58, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6058e535, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26f143ed, org.springframework.security.web.session.SessionManagementFilter@4ced35ed, org.springframework.security.web.access.ExceptionTranslationFilter@610db97e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7dd712e8]
2026-03-16 15:51:39.184 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 15:51:39.206 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-16 15:51:39.217 INFO  [main] c.e.l.LearningPlanApplication - Started LearningPlanApplication in 9.832 seconds (JVM running for 10.413)
2026-03-16 15:52:09.231 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-16 15:52:09.232 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-16 15:52:09.233 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
