2026-03-16 15:33:51.793 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2026-03-16 15:33:51.794 INFO  [main] o.a.catalina.core.StandardService - Stopping service [Tomcat]
2026-03-16 15:33:51.796 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2026-03-16 15:33:51.797 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2026-03-16 15:33:51.804 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2026-03-16 15:35:28.533 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 15:35:28.542 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 24632 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 15:35:28.543 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 15:35:29.491 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 15:35:29.590 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86 ms. Found 11 JPA repository interfaces.
2026-03-16 15:35:30.261 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 15:35:30.270 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 15:35:30.272 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 15:35:30.272 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 15:35:30.512 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 15:35:30.513 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1925 ms
2026-03-16 15:35:30.654 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 15:35:30.717 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 15:35:30.898 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 15:35:31.045 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 15:35:31.911 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 15:35:31.940 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 15:35:33.133 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 15:35:33.145 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
